method,agieval_lsat_ar,arc_challenge,arc_easy,coqa,gsm8k,hellaswag,jeopardy,lambada_openai,mbpp,mmlu,piqa,social_iqa,squadv2,winogrande,average
olmo_3_1025_7b@step1453814,0.20434782608695654,0.5998293515358362,0.8602693602693603,0.8560467202066485,0.7642153146322972,0.7642899820752838,0.5461,0.4519697263729866,0.49360000000000004,0.668906344235111,0.7932535364526659,0.5020470829068577,0.9197895097486284,0.7245461720599842,0.6535150661844726
apertus_70b@step800000,0.23478260869565218,0.6313993174061433,0.8602693602693603,0.8354439240843113,0.5072024260803639,0.8513244373630751,0.7013,0.47680962546089656,0.358375,0.6862804928317638,0.8492927094668118,0.48157625383828045,0.8763643015737602,0.7932123125493291,0.6531166264014105
olmo_hybrid_7b_ingredient1@step1429078,0.23043478260869565,0.6177474402730375,0.8598484848484849,0.8194676216855069,0.7285822592873389,0.7402907787293368,0.4716,0.5951872695517174,0.43460000000000004,0.6907907953494159,0.8008705114254625,0.4907881269191402,0.9001490402911654,0.744277821625888,0.6517596380425136
apertus_70b@step700000,0.23043478260869565,0.6245733788395904,0.8695286195286195,0.8199972501020858,0.4988627748294162,0.8524198366859191,0.7028,0.48825926644673007,0.3418125,0.6813951324357668,0.8422198041349293,0.4825997952917093,0.8792206637573343,0.8003157063930545,0.6510313936467035
olmo_3_1025_7b@step1470498,0.1826086956521739,0.5938566552901023,0.8653198653198653,0.8530577987142294,0.730098559514784,0.7567217685719976,0.5262,0.4467300601591306,0.4744,0.6691643626862296,0.7986942328618063,0.5481064483111566,0.9299322963290954,0.7308602999210734,0.6504107888094032
qwen35_4b,0.2,0.6569965870307167,0.875,0.4924772951766033,0.8324488248673237,0.7646883091017725,0.495,0.5691830001940618,0.51,0.7795712744017612,0.8025027203482046,0.49027635619242577,0.9257777472818413,0.7103393843725335,0.6503043927833746
olmo_3_1025_7b@step1448814,0.2391304347826087,0.5895904436860068,0.8552188552188552,0.8543494961566958,0.7695223654283548,0.754829715196176,0.4934,0.4628371822239472,0.49879999999999997,0.661583281104161,0.7894450489662677,0.49744114636642783,0.9202037249717803,0.7166535122336227,0.6502146575953504
llama3_1_8b,0.1826086956521739,0.5742320819112628,0.8636363636363636,0.7876788077545348,0.5648218347232752,0.808105954989046,0.6468,0.4785561808655152,0.4798125,0.6833451292465077,0.8248095756256801,0.4984646878198567,0.8881865122064123,0.7750591949486977,0.6468655370985232
olmo_hybrid_7b_ingredient1@step1424078,0.23043478260869565,0.5947098976109215,0.8468013468013468,0.832226121045547,0.7210007581501138,0.7309300936068512,0.4641,0.5734523578497962,0.4334,0.6830564280660059,0.8046789989118607,0.5117707267144319,0.8966948655714003,0.7261247040252565,0.6463843629258734
ministral_3_3b,0.2217391304347826,0.6382252559726962,0.872895622895623,0.7957145653506471,0.7285822592873389,0.7466640111531567,0.5401,0.4471181835823792,0.46375,0.7386819549223436,0.7997823721436343,0.4467758444216991,0.8933814804397505,0.7048145224940805,0.6455875145070095
